age,population
0,126834
1,128082
2,125846
3,125256
4,122716
5,121027
6,118064
7,117091
8,119284
9,121040
10,119682
11,120589
12,122499
13,122618
14,121605
15,122641
16,127239
17,132042
18,134615
19,134095
20,132606
21,132910
22,131827
23,132719
24,130656
25,133456
26,134669
27,138704
28,141574
29,143306
30,142418
31,140899
32,139642
33,138434
34,136663
35,141187
36,145399
37,150851
38,154317
39,155972
40,154937
41,154460
42,155846
43,160364
44,164146
45,169077
46,166016
47,162435
48,162289
49,160251
50,160438
51,156437
52,153084
53,149907
54,147660
55,144297
56,140419
57,138834
58,132857
59,133044
60,131412
61,132188
62,129996
63,129404
64,108873
65,107455
66,101236
67,88560
68,80170
69,88724
70,95117
71,95517
72,90664
73,87084
74,84905
75,84659
76,82300
77,83004
78,80365
79,77251
80,68844
81,64165
82,59019
83,54781
84,50918
85,45456
86,40435
87,34707
88,30270
89,25246
90,15840
91,9122
92,7131
93,6260
94,5780
95,5019
96,3528
97,2371
98,1638
99,1059
100,1560
