age,population
0,121044
1,120645
2,121249
3,124050
4,125380
5,128950
6,129628
7,132551
8,133894
9,136176
10,135083
11,135672
12,132966
13,132017
14,129011
15,127378
16,124463
17,123938
18,126960
19,129871
20,129401
21,131145
22,134394
23,136201
24,137157
25,139089
26,144804
27,150141
28,152672
29,152477
30,150599
31,150372
32,148034
33,147726
34,144956
35,146311
36,146783
37,149687
38,151534
39,152974
40,150690
41,148790
42,146905
43,144999
44,142660
45,146433
46,149499
47,154186
48,156991
49,158125
50,156296
51,155551
52,155769
53,159181
54,162080
55,166160
56,162377
57,158273
58,157175
59,154299
60,153366
61,148386
62,144169
63,140242
64,136974
65,132742
66,128106
67,125642
68,119166
69,118291
70,116093
71,115604
72,112425
73,110936
74,92239
75,89965
76,83352
77,71894
78,63615
79,68823
80,71982
81,70141
82,64418
83,59471
84,54984
85,51892
86,47199
87,43958
88,39086
89,34111
90,27274
91,22169
92,17691
93,13998
94,10922
95,8168
96,5842
97,4037
98,2684
99,1754
100,834
101,343
102,207
103,124
104,68
105,46
106,12
107,2
108,1
109,0
