nationality,age,gender,married,population
0,18,0,True,0
0,18,0,False,5001
0,18,1,True,6
0,18,1,False,4852
0,19,0,True,3
0,19,0,False,4793
0,19,1,True,22
0,19,1,False,4771
0,20,0,True,11
0,20,0,False,4919
0,20,1,True,60
0,20,1,False,4848
0,21,0,True,26
0,21,0,False,4911
0,21,1,True,135
0,21,1,False,4695
0,22,0,True,61
0,22,0,False,4949
0,22,1,True,235
0,22,1,False,4647
0,23,0,True,107
0,23,0,False,4812
0,23,1,True,312
0,23,1,False,4571
0,24,0,True,200
0,24,0,False,5166
0,24,1,True,461
0,24,1,False,4749
0,25,0,True,311
0,25,0,False,5127
0,25,1,True,622
0,25,1,False,5013
0,26,0,True,431
0,26,0,False,5358
0,26,1,True,776
0,26,1,False,4963
0,27,0,True,544
0,27,0,False,5394
0,27,1,True,915
0,27,1,False,4813
0,28,0,True,693
0,28,0,False,5289
0,28,1,True,1088
0,28,1,False,4647
0,29,0,True,962
0,29,0,False,4974
0,29,1,True,1294
0,29,1,False,4499
0,30,0,True,1048
0,30,0,False,4737
0,30,1,True,1446
0,30,1,False,4183
0,31,0,True,1223
0,31,0,False,4539
0,31,1,True,1655
0,31,1,False,3785
0,32,0,True,1357
0,32,0,False,4162
0,32,1,True,1700
0,32,1,False,3506
0,33,0,True,1520
0,33,0,False,3866
0,33,1,True,1786
0,33,1,False,3199
0,34,0,True,1482
0,34,0,False,3560
0,34,1,True,1857
0,34,1,False,3137
0,35,0,True,1645
0,35,0,False,3246
0,35,1,True,1992
0,35,1,False,2904
0,36,0,True,1723
0,36,0,False,3066
0,36,1,True,1978
0,36,1,False,2728
0,37,0,True,1791
0,37,0,False,2947
0,37,1,True,2076
0,37,1,False,2716
0,38,0,True,1868
0,38,0,False,2800
0,38,1,True,2098
0,38,1,False,2600
0,39,0,True,2067
0,39,0,False,2707
0,39,1,True,2253
0,39,1,False,2611
0,40,0,True,2088
0,40,0,False,2676
0,40,1,True,2317
0,40,1,False,2483
0,41,0,True,2282
0,41,0,False,2737
0,41,1,True,2310
0,41,1,False,2721
0,42,0,True,2316
0,42,0,False,2697
0,42,1,True,2281
0,42,1,False,2554
0,43,0,True,2404
0,43,0,False,2522
0,43,1,True,2355
0,43,1,False,2492
0,44,0,True,2387
0,44,0,False,2602
0,44,1,True,2324
0,44,1,False,2485
0,45,0,True,2389
0,45,0,False,2466
0,45,1,True,2292
0,45,1,False,2470
0,46,0,True,2472
0,46,0,False,2461
0,46,1,True,2100
0,46,1,False,2389
0,47,0,True,2438
0,47,0,False,2477
0,47,1,True,2222
0,47,1,False,2469
0,48,0,True,2604
0,48,0,False,2432
0,48,1,True,2326
0,48,1,False,2489
0,49,0,True,2459
0,49,0,False,2381
0,49,1,True,2209
0,49,1,False,2566
0,50,0,True,2570
0,50,0,False,2439
0,50,1,True,2219
0,50,1,False,2455
0,51,0,True,2637
0,51,0,False,2396
0,51,1,True,2218
0,51,1,False,2607
0,52,0,True,2617
0,52,0,False,2317
0,52,1,True,2215
0,52,1,False,2524
0,53,0,True,2645
0,53,0,False,2208
0,53,1,True,2108
0,53,1,False,2595
0,54,0,True,2393
0,54,0,False,2147
0,54,1,True,1966
0,54,1,False,2512
0,55,0,True,2458
0,55,0,False,2139
0,55,1,True,2096
0,55,1,False,2505
0,56,0,True,2486
0,56,0,False,2219
0,56,1,True,2108
0,56,1,False,2584
0,57,0,True,2469
0,57,0,False,2141
0,57,1,True,2123
0,57,1,False,2558
0,58,0,True,2353
0,58,0,False,2047
0,58,1,True,1961
0,58,1,False,2565
0,59,0,True,2373
0,59,0,False,1903
0,59,1,True,1984
0,59,1,False,2427
0,60,0,True,2294
0,60,0,False,1809
0,60,1,True,1967
0,60,1,False,2432
0,61,0,True,2343
0,61,0,False,1821
0,61,1,True,2060
0,61,1,False,2558
0,62,0,True,2159
0,62,0,False,1773
0,62,1,True,1904
0,62,1,False,2448
0,63,0,True,2035
0,63,0,False,1709
0,63,1,True,1949
0,63,1,False,2312
0,64,0,True,2015
0,64,0,False,1534
0,64,1,True,1800
0,64,1,False,2307
1,18,0,True,0
1,18,0,False,2040
1,18,1,True,5
1,18,1,False,1912
1,19,0,True,0
1,19,0,False,2177
1,19,1,True,35
1,19,1,False,2115
1,20,0,True,11
1,20,0,False,2293
1,20,1,True,84
1,20,1,False,2250
1,21,0,True,22
1,21,0,False,2623
1,21,1,True,188
1,21,1,False,2432
1,22,0,True,50
1,22,0,False,2708
1,22,1,True,286
1,22,1,False,2635
1,23,0,True,89
1,23,0,False,2759
1,23,1,True,445
1,23,1,False,2884
1,24,0,True,161
1,24,0,False,3003
1,24,1,True,626
1,24,1,False,3223
1,25,0,True,269
1,25,0,False,3351
1,25,1,True,813
1,25,1,False,3775
1,26,0,True,392
1,26,0,False,3666
1,26,1,True,995
1,26,1,False,3928
1,27,0,True,546
1,27,0,False,3848
1,27,1,True,1200
1,27,1,False,4074
1,28,0,True,643
1,28,0,False,3883
1,28,1,True,1500
1,28,1,False,4004
1,29,0,True,820
1,29,0,False,3908
1,29,1,True,1700
1,29,1,False,3792
1,30,0,True,1040
1,30,0,False,3801
1,30,1,True,1875
1,30,1,False,3544
1,31,0,True,1222
1,31,0,False,3646
1,31,1,True,2109
1,31,1,False,3364
1,32,0,True,1497
1,32,0,False,3490
1,32,1,True,2222
1,32,1,False,3105
1,33,0,True,1726
1,33,0,False,3276
1,33,1,True,2461
1,33,1,False,2973
1,34,0,True,1771
1,34,0,False,2915
1,34,1,True,2508
1,34,1,False,2670
1,35,0,True,1888
1,35,0,False,2773
1,35,1,True,2515
1,35,1,False,2438
1,36,0,True,1998
1,36,0,False,2685
1,36,1,True,2424
1,36,1,False,2381
1,37,0,True,1988
1,37,0,False,2571
1,37,1,True,2357
1,37,1,False,2265
1,38,0,True,1982
1,38,0,False,2379
1,38,1,True,2364
1,38,1,False,2063
1,39,0,True,2171
1,39,0,False,2363
1,39,1,True,2431
1,39,1,False,2091
1,40,0,True,2108
1,40,0,False,2269
1,40,1,True,2315
1,40,1,False,1904
1,41,0,True,2170
1,41,0,False,2318
1,41,1,True,2385
1,41,1,False,2001
1,42,0,True,2067
1,42,0,False,2270
1,42,1,True,2297
1,42,1,False,1842
1,43,0,True,2029
1,43,0,False,2188
1,43,1,True,2195
1,43,1,False,1870
1,44,0,True,2075
1,44,0,False,2011
1,44,1,True,2089
1,44,1,False,1772
1,45,0,True,2043
1,45,0,False,1965
1,45,1,True,2034
1,45,1,False,1585
1,46,0,True,1896
1,46,0,False,1990
1,46,1,True,1896
1,46,1,False,1515
1,47,0,True,1964
1,47,0,False,1890
1,47,1,True,1872
1,47,1,False,1577
1,48,0,True,1783
1,48,0,False,1850
1,48,1,True,1617
1,48,1,False,1518
1,49,0,True,1796
1,49,0,False,1707
1,49,1,True,1677
1,49,1,False,1441
1,50,0,True,1723
1,50,0,False,1562
1,50,1,True,1608
1,50,1,False,1434
1,51,0,True,1768
1,51,0,False,1565
1,51,1,True,1588
1,51,1,False,1314
1,52,0,True,1759
1,52,0,False,1538
1,52,1,True,1489
1,52,1,False,1307
1,53,0,True,1712
1,53,0,False,1427
1,53,1,True,1420
1,53,1,False,1250
1,54,0,True,1625
1,54,0,False,1376
1,54,1,True,1218
1,54,1,False,1235
1,55,0,True,1533
1,55,0,False,1287
1,55,1,True,1231
1,55,1,False,1186
1,56,0,True,1348
1,56,0,False,1129
1,56,1,True,1137
1,56,1,False,1078
1,57,0,True,1354
1,57,0,False,1097
1,57,1,True,1089
1,57,1,False,1060
1,58,0,True,1248
1,58,0,False,975
1,58,1,True,1060
1,58,1,False,999
1,59,0,True,1243
1,59,0,False,893
1,59,1,True,1045
1,59,1,False,939
1,60,0,True,1171
1,60,0,False,873
1,60,1,True,911
1,60,1,False,887
1,61,0,True,1091
1,61,0,False,793
1,61,1,True,887
1,61,1,False,894
1,62,0,True,994
1,62,0,False,667
1,62,1,True,818
1,62,1,False,843
1,63,0,True,914
1,63,0,False,635
1,63,1,True,732
1,63,1,False,718
1,64,0,True,811
1,64,0,False,517
1,64,1,True,619
1,64,1,False,696
