hospitalizations,measure
-1768.8122053014774,-1.1319700081402955
-1798.2405895981549,-1.1319698448145907
-1830.1356996730844,-1.1319696782150785
-1864.8188243975817,-1.1319695082423133
-1902.666903857842,-1.1319693347928443
-1944.1242107393348,-1.1319691577588649
-1989.7167329798206,-1.131968977028031
-2040.0699400723697,-1.1319687924835296
-2095.931124084976,-1.1319686040030816
-2158.1967024166997,-1.1319684114595547
-2227.9466152934724,-1.1319682147202823
-2306.487241041479,-1.131968013646308
-2395.404348125482,-1.1319678080929312
-2496.6295272204034,-1.1319675979089379
-2612.5227431315975,-1.13196738293591
-2745.974439747127,-1.1319671630079564
-2900.5305932449996,-1.1319669379524409
-3080.548077979337,-1.1319667075875826
-3291.381240035138,-1.1319664717229052
-3539.604959196437,-1.131966230159793
-3833.2803767121636,-1.1319659826888413
-4182.257801501427,-1.131965729090258
-4598.511976062929,-1.131965469134377
-5096.500925988159,-1.131965202578714
-5693.510599732578,-1.1319649291682945
-6409.937292227692,-1.1319646486365158
-7269.451817806112,-1.1319643606997551
-8298.901015566156,-1.1319640650617788
-9527.854043126747,-1.1319637614103384
-10987.633878487291,-1.1319634494132746
-12709.651576002849,-1.1319631287226921
-14723.031701474016,-1.1319627989710865
-17051.57005035607,-1.1319624597668982
-19710.215449742784,-1.1319621106988118
-22701.67739106497,-1.1319617513312972
-26013.817038523364,-1.1319613811994749
-29618.4491023063,-1.1319609998134894
-33472.24506421521,-1.131960606653304
-37519.778829848525,-1.1319602011626952
-41698.15968757654,-1.1319597827536072
-45942.585173160434,-1.1319593507999863
-50191.67875245529,-1.1319589046306469
-54391.60605841051,-1.1319584435334626
-58498.70105080271,-1.1319579667479347
-62480.42575764646,-1.1319574734565714
-66314.84647260436,-1.13195696278868
-69989.3002243696,-1.1319564338112325
-73498.6075258807,-1.131955885518242
-76843.11434403968,-1.1319553168337801
-80027.01321252323,-1.1319547266004946
-83056.94777455836,-1.1319541135680746
-85940.91350515731,-1.131953476387573
-88687.47472395237,-1.1319528136054733
-91305.28019419874,-1.1319521236471404
-93802.74092502918,-1.1319514048061028
-96187.85619061653,-1.1319506552299623
-98468.12068055419,-1.1319498729091702
-100650.55576331762,-1.1319490556402965
-102741.639299461,-1.1319482010331559
-104747.38730975645,-1.131947306469114
-106673.37304342733,-1.1319463690788027
-108524.76037222969,-1.1319453857113748
-110306.32466878605,-1.1319443529053672
-112022.52239126166,-1.1319432668231781
-113677.45302286455,-1.13194212324025
-115274.92377263757,-1.1319409174659352
-116818.45906883417,-1.1319396442851277
-118311.31060960246,-1.1319382978910308
-119756.50989958193,-1.131936871764149
-121156.83226176914,-1.131935358614839
-122514.8483211061,-1.1319337502271047
-123832.9304561211,-1.1319320373170658
-125113.26755543078,-1.1319302093536285
-126357.87200631271,-1.1319282543536984
-127568.62224600691,-1.1319261585717613
-128747.23146609568,-1.1319239062463766
-129895.2890460471,-1.1319214791571603
-131014.26441027827,-1.1319188561419022
-132105.5173465024,-1.1319160124778458
-133170.3012930426,-1.1319129191190054
-134209.79749770625,-1.1319095416245717
-135225.08489306064,-1.1319058389829404
-136217.17340426877,-1.131901761865191
-137187.00368368407,-1.1318977004444304
-138135.45390482162,-1.131893803790435
-139063.3391200354,-1.1318894404709168
-139971.43901743586,-1.1318845212530173
-140860.4686544083,-1.1318789327109458
-141731.10527432355,-1.1318725282688384
-142583.98592702576,-1.1318651151828438
-143419.71117336498,-1.1318564348103721
-144238.8439049321,-1.1318461318814963
-145041.93022041587,-1.1318337044033315
-145829.47178848393,-1.131818419800748
-146601.95168770765,-1.131799164838874
-147359.82654381334,-1.1317741616408907
-148103.53215883425,-1.1317403846692675
-148833.47798781592,-1.1316922338139974
-149550.06779822035,-1.1316180539167005
-150253.67520175988,-1.2786805939120627
