hospitalizations,measure
-1768.8122053014774,-1430.9807518306893
-1798.2405895981549,-1416.6270935330072
-1830.1356996730844,-1402.254248590337
-1864.8188243975817,-1387.8600957831914
-1902.666903857842,-1373.442215065717
-1944.1242107393348,-1358.997823835171
-1989.7167329798206,-1344.523719310431
-2040.0699400723697,-1330.0162293571393
-2095.931124084976,-1315.471066455872
-2158.1967024166997,-1300.883293350797
-2227.9466152934724,-1286.247167435052
-2306.487241041479,-1271.5559611583267
-2395.404348125482,-1256.8018522390712
-2496.6295272204034,-1241.97568494235
-2612.5227431315975,-1227.0667047512495
-2745.974439747127,-1212.0622840247922
-2900.5305932449996,-1196.9476693121796
-3080.548077979337,-1181.7054699770306
-3291.381240035138,-1166.3152971937407
-3539.604959196437,-1150.7533643944146
-3833.2803767121636,-1134.9918543089832
-4182.257801501427,-1118.9984894353415
-4598.511976062929,-1102.7361550644482
-5096.500925988159,-1086.1624316919558
-5693.510599732578,-1069.2295743326904
-6409.937292227692,-1051.88492295317
-7269.451817806112,-1034.071539655638
-8298.901015566156,-1015.730325488866
-9527.854043126747,-996.8028113775595
-10987.633878487291,-977.2353223407564
-12709.651576002849,-956.9851685439781
-14723.031701474016,-936.0277106340253
-17051.57005035607,-914.3641902531622
-19710.215449742784,-892.0298375456222
-22701.67739106497,-869.0996011533931
-26013.817038523364,-845.690282250658
-29618.4491023063,-821.9583188484899
-33472.24506421521,-798.0914987990999
-37519.778829848525,-774.2959809405928
-41698.15968757654,-750.7812902669777
-45942.585173160434,-727.7446829532647
-50191.67875245529,-705.3580521402592
-54391.60605841051,-683.7596270996564
-58498.70105080271,-663.0497539322943
-62480.42575764646,-643.2909266052811
-66314.84647260436,-624.5114741334694
-69989.3002243696,-606.7105203844156
-73498.6075258807,-589.8637421750851
-76843.11434403968,-573.9295025022801
-80027.01321252323,-558.8539205579898
-83056.94777455836,-544.5752288200414
-85940.91350515731,-531.027445421121
-88687.47472395237,-518.1432154225259
-91305.28019419874,-505.85575020697854
-93802.74092502918,-494.1003515631047
-96187.85619061653,-482.8154234727785
-98468.12068055419,-471.94317754484587
-100650.55576331762,-461.4297402483548
-102741.639299461,-451.2256836368743
-104747.38730975645,-441.2857587453308
-106673.37304342733,-431.56884082990587
-108524.76037222969,-422.03773415076245
-110306.32466878605,-412.6589854839934
-112022.52239126166,-403.40239522260885
-113677.45302286455,-394.2410721853393
-115274.92377263757,-385.1509358859849
-116818.45906883417,-376.11050664608035
-118311.31060960246,-367.10070803098534
-119756.50989958193,-358.1044216947707
-121156.83226176914,-349.10659282197685
-122514.8483211061,-340.09382337430213
-123832.9304561211,-331.0542503095684
-125113.26755543078,-321.97738806138005
-126357.87200631271,-312.8540418233973
-127568.62224600691,-303.6759657944057
-128747.23146609568,-294.4360736688259
-129895.2890460471,-285.128123065968
-131014.26441027827,-275.74667942539696
-132105.5173465024,-266.2870357153098
-133170.3012930426,-256.74519685626467
-134209.79749770625,-247.1175896812416
-135225.08489306064,-237.4013424750601
-136217.17340426877,-227.5940083005614
-137187.00368368407,-217.69357373634975
-138135.45390482162,-207.69841665570766
-139063.3391200354,-197.60732726681974
-139971.43901743586,-187.41923501636447
-140860.4686544083,-177.1335338859618
-141731.10527432355,-166.74981646223713
-142583.98592702576,-156.26790685373297
-143419.71117336498,-145.68783752181008
-144238.8439049321,-135.0098908419411
-145041.93022041587,-124.23432679670685
-145829.47178848393,-113.36174294887978
-146601.95168770765,-102.39280766930466
-147359.82654381334,-91.32830712394988
-148103.53215883425,-80.16913221766184
-148833.47798781592,-68.91633283872844
-149550.06779822035,-57.57084061584667
-150253.67520175988,-46.13385705842387
