hospitalizations,measure1,measure2
-1768.8122053014774,-1430.9807518306893,-322966.50355883595
-1798.2405895981549,-1416.6270935330072,-319706.4446827258
-1830.1356996730844,-1402.254248590337,-316446.15415732644
-1864.8188243975817,-1387.8600957831914,-313185.6029237235
-1902.666903857842,-1373.442215065717,-309924.7585550054
-1944.1242107393348,-1358.997823835171,-306663.5816849999
-1989.7167329798206,-1344.523719310431,-303402.0258594246
-2040.0699400723697,-1330.0162293571393,-300140.0416676988
-2095.931124084976,-1315.471066455872,-296877.5619461755
-2158.1967024166997,-1300.883293350797,-293614.5155018997
-2227.9466152934724,-1286.247167435052,-290350.81754637376
-2306.487241041479,-1271.5559611583267,-287086.3595859863
-2395.404348125482,-1256.8018522390712,-283821.0203190437
-2496.6295272204034,-1241.97568494235,-280554.6540582593
-2612.5227431315975,-1227.0667047512495,-277287.0805639024
-2745.974439747127,-1212.0622840247922,-274018.08090262534
-2900.5305932449996,-1196.9476693121796,-270747.40636666404
-3080.548077979337,-1181.7054699770306,-267474.7399065428
-3291.381240035138,-1166.3152971937407,-264199.6990655953
-3539.604959196437,-1150.7533643944146,-260921.83690720092
-3833.2803767121636,-1134.9918543089832,-257640.5973712636
-4182.257801501427,-1118.9984894353415,-254355.31223218614
-4598.511976062929,-1102.7361550644482,-251065.19699991748
-5096.500925988159,-1086.1624316919558,-247769.30343797937
-5693.510599732578,-1069.2295743326904,-244466.51839532907
-6409.937292227692,-1051.88492295317,-241155.5743711771
-7269.451817806112,-1034.071539655638,-237834.99934502016
-8298.901015566156,-1015.730325488866,-234503.20403917113
-9527.854043126747,-996.8028113775595,-231158.50623244204
-10987.633878487291,-977.2353223407564,-227799.1937008592
-12709.651576002849,-956.9851685439781,-224423.7221503842
-14723.031701474016,-936.0277106340253,-221030.87015684502
-17051.57005035607,-914.3641902531622,-217619.9259149422
-19710.215449742784,-892.0298375456222,-214190.9671844856
-22701.67739106497,-869.0996011533931,-210745.00890366753
-26013.817038523364,-845.690282250658,-207284.0549090522
-29618.4491023063,-821.9583188484899,-203811.1039293755
-33472.24506421521,-798.0914987990999,-200329.91372471067
-37519.778829848525,-774.2959809405928,-196844.64238786252
-41698.15968757654,-750.7812902669777,-193359.52503209197
-45942.585173160434,-727.7446829532647,-189878.4812390123
-50191.67875245529,-705.3580521402592,-186404.8137739534
-54391.60605841051,-683.7596270996564,-182941.12629502403
-58498.70105080271,-663.0497539322943,-179489.27291047847
-62480.42575764646,-643.2909266052811,-176050.40357843632
-66314.84647260436,-624.5114741334694,-172625.15547165522
-69989.3002243696,-606.7105203844156,-169213.76910084626
-73498.6075258807,-589.8637421750851,-165816.19416989153
-76843.11434403968,-573.9295025022801,-162432.25999208327
-80027.01321252323,-558.8539205579898,-159061.72402998776
-83056.94777455836,-544.5752288200414,-155704.30200021167
-85940.91350515731,-531.027445421121,-152359.7140557153
-88687.47472395237,-518.1432154225259,-149027.7132327857
-91305.28019419874,-505.85575020697854,-145708.05354002738
-93802.74092502918,-494.1003515631047,-142400.4916729894
-96187.85619061653,-482.8154234727785,-139104.77689280425
-98468.12068055419,-471.94317754484587,-135820.66077401748
-100650.55576331762,-461.4297402483548,-132547.81240254422
-102741.639299461,-451.2256836368743,-129285.93023711568
-104747.38730975645,-441.2857587453308,-126034.66312227813
-106673.37304342733,-431.56884082990587,-122793.63102211968
-108524.76037222969,-422.03773415076245,-119562.42848495966
-110306.32466878605,-412.6589854839934,-116340.64860897734
-112022.52239126166,-403.40239522260885,-113127.81288615
-113677.45302286455,-394.2410721853393,-109923.49141866103
-115274.92377263757,-385.1509358859849,-106727.23281962839
-116818.45906883417,-376.11050664608035,-103538.58877598164
-118311.31060960246,-367.10070803098534,-100357.13763906392
-119756.50989958193,-358.1044216947707,-97182.41341160073
-121156.83226176914,-349.10659282197685,-94014.02158648027
-122514.8483211061,-340.09382337430213,-90851.56641252033
-123832.9304561211,-331.0542503095684,-87694.67135694702
-125113.26755543078,-321.97738806138005,-84542.9801101178
-126357.87200631271,-312.8540418233973,-81396.17561744562
-127568.62224600691,-303.6759657944057,-78253.90585322748
-128747.23146609568,-294.4360736688259,-75115.89491386402
-129895.2890460471,-285.128123065968,-71981.8681334745
-131014.26441027827,-275.74667942539696,-68851.56988907597
-132105.5173465024,-266.2870357153098,-65724.76269382903
-133170.3012930426,-256.74519685626467,-62601.244625785366
-134209.79749770625,-247.1175896812416,-59480.774565493404
-135225.08489306064,-237.4013424750601,-56363.18172863776
-136217.17340426877,-227.5940083005614,-53248.29083056084
-137187.00368368407,-217.69357373634975,-50135.93950061992
-138135.45390482162,-207.69841665570766,-47025.97724348272
-139063.3391200354,-197.60732726681974,-43918.282824747745
-139971.43901743586,-187.41923501636447,-40812.69000732241
-140860.4686544083,-177.1335338859618,-37709.096753059035
-141731.10527432355,-166.74981646223713,-34607.39108648656
-142583.98592702576,-156.26790685373297,-31507.468743699952
-143419.71117336498,-145.68783752181008,-28409.232564135462
-144238.8439049321,-135.0098908419411,-25312.610194707726
-145041.93022041587,-124.23432679670685,-22217.48053022655
-145829.47178848393,-113.36174294887978,-19123.78290664222
-146601.95168770765,-102.39280766930466,-16031.443602727759
-147359.82654381334,-91.32830712394988,-12940.393764748678
-148103.53215883425,-80.16913221766184,-9850.56905398125
-148833.47798781592,-68.91633283872844,-6761.927553376019
-149550.06779822035,-57.57084061584667,-3674.376551878161
-150253.67520175988,-46.13385705842387,-587.881587590388
