hospitalizations,measure1,measure2
-1768.8122053014774,-322966.50355883595,-1.1319700081402955
-1798.2405895981549,-319706.4446827258,-1.1319698448145907
-1830.1356996730844,-316446.15415732644,-1.1319696782150785
-1864.8188243975817,-313185.6029237235,-1.1319695082423133
-1902.666903857842,-309924.7585550054,-1.1319693347928443
-1944.1242107393348,-306663.5816849999,-1.1319691577588649
-1989.7167329798206,-303402.0258594246,-1.131968977028031
-2040.0699400723697,-300140.0416676988,-1.1319687924835296
-2095.931124084976,-296877.5619461755,-1.1319686040030816
-2158.1967024166997,-293614.5155018997,-1.1319684114595547
-2227.9466152934724,-290350.81754637376,-1.1319682147202823
-2306.487241041479,-287086.3595859863,-1.131968013646308
-2395.404348125482,-283821.0203190437,-1.1319678080929312
-2496.6295272204034,-280554.6540582593,-1.1319675979089379
-2612.5227431315975,-277287.0805639024,-1.13196738293591
-2745.974439747127,-274018.08090262534,-1.1319671630079564
-2900.5305932449996,-270747.40636666404,-1.1319669379524409
-3080.548077979337,-267474.7399065428,-1.1319667075875826
-3291.381240035138,-264199.6990655953,-1.1319664717229052
-3539.604959196437,-260921.83690720092,-1.131966230159793
-3833.2803767121636,-257640.5973712636,-1.1319659826888413
-4182.257801501427,-254355.31223218614,-1.131965729090258
-4598.511976062929,-251065.19699991748,-1.131965469134377
-5096.500925988159,-247769.30343797937,-1.131965202578714
-5693.510599732578,-244466.51839532907,-1.1319649291682945
-6409.937292227692,-241155.5743711771,-1.1319646486365158
-7269.451817806112,-237834.99934502016,-1.1319643606997551
-8298.901015566156,-234503.20403917113,-1.1319640650617788
-9527.854043126747,-231158.50623244204,-1.1319637614103384
-10987.633878487291,-227799.1937008592,-1.1319634494132746
-12709.651576002849,-224423.7221503842,-1.1319631287226921
-14723.031701474016,-221030.87015684502,-1.1319627989710865
-17051.57005035607,-217619.9259149422,-1.1319624597668982
-19710.215449742784,-214190.9671844856,-1.1319621106988118
-22701.67739106497,-210745.00890366753,-1.1319617513312972
-26013.817038523364,-207284.0549090522,-1.1319613811994749
-29618.4491023063,-203811.1039293755,-1.1319609998134894
-33472.24506421521,-200329.91372471067,-1.131960606653304
-37519.778829848525,-196844.64238786252,-1.1319602011626952
-41698.15968757654,-193359.52503209197,-1.1319597827536072
-45942.585173160434,-189878.4812390123,-1.1319593507999863
-50191.67875245529,-186404.8137739534,-1.1319589046306469
-54391.60605841051,-182941.12629502403,-1.1319584435334626
-58498.70105080271,-179489.27291047847,-1.1319579667479347
-62480.42575764646,-176050.40357843632,-1.1319574734565714
-66314.84647260436,-172625.15547165522,-1.13195696278868
-69989.3002243696,-169213.76910084626,-1.1319564338112325
-73498.6075258807,-165816.19416989153,-1.131955885518242
-76843.11434403968,-162432.25999208327,-1.1319553168337801
-80027.01321252323,-159061.72402998776,-1.1319547266004946
-83056.94777455836,-155704.30200021167,-1.1319541135680746
-85940.91350515731,-152359.7140557153,-1.131953476387573
-88687.47472395237,-149027.7132327857,-1.1319528136054733
-91305.28019419874,-145708.05354002738,-1.1319521236471404
-93802.74092502918,-142400.4916729894,-1.1319514048061028
-96187.85619061653,-139104.77689280425,-1.1319506552299623
-98468.12068055419,-135820.66077401748,-1.1319498729091702
-100650.55576331762,-132547.81240254422,-1.1319490556402965
-102741.639299461,-129285.93023711568,-1.1319482010331559
-104747.38730975645,-126034.66312227813,-1.131947306469114
-106673.37304342733,-122793.63102211968,-1.1319463690788027
-108524.76037222969,-119562.42848495966,-1.1319453857113748
-110306.32466878605,-116340.64860897734,-1.1319443529053672
-112022.52239126166,-113127.81288615,-1.1319432668231781
-113677.45302286455,-109923.49141866103,-1.13194212324025
-115274.92377263757,-106727.23281962839,-1.1319409174659352
-116818.45906883417,-103538.58877598164,-1.1319396442851277
-118311.31060960246,-100357.13763906392,-1.1319382978910308
-119756.50989958193,-97182.41341160073,-1.131936871764149
-121156.83226176914,-94014.02158648027,-1.131935358614839
-122514.8483211061,-90851.56641252033,-1.1319337502271047
-123832.9304561211,-87694.67135694702,-1.1319320373170658
-125113.26755543078,-84542.9801101178,-1.1319302093536285
-126357.87200631271,-81396.17561744562,-1.1319282543536984
-127568.62224600691,-78253.90585322748,-1.1319261585717613
-128747.23146609568,-75115.89491386402,-1.1319239062463766
-129895.2890460471,-71981.8681334745,-1.1319214791571603
-131014.26441027827,-68851.56988907597,-1.1319188561419022
