"o_0","o_1","o_2","o_3","o_4","o_5"
"-118342.55456924438","-12558.729648590088","-327.1299362182617","-117.22444534301758","-571.8860149383545","-1016.2404155731201"
"-4851985.549926758","-79671.40674591064","-20.371846854686737","-107.49382019042969","-422.9372501373291","-550.8029079437256"
"-55049.604177474976","-11860.682964324951","-415.0707244873047","-117.2344970703125","-491.3936138153076","-1023.698844909668"
"-1633322.525024414","-27311.813831329346","-453.76267433166504","-70.6263542175293","-320.74646949768066","-845.1355648040771"
"-8085429.382324219","-139217.3957824707","-118.36047172546387","-39.89311218261719","-106.71111345291138","-264.9646997451782"
"-57979.750633239746","-11926.233768463135","-371.24762535095215","-117.23462104797363","-573.1198310852051","-1061.6021060943604"
"-1184232.4256896973","-28482.470512390137","-223.1489896774292","-116.27945899963379","-534.1219902038574","-873.5504150390625"
"-230119.82440948486","-14032.590389251709","-368.529748916626","-117.18214988708496","-489.52856063842773","-975.2404689788818"
"-38955.75404167175","-1768.9719796180725","-590.4422760009766","-117.23462104797363","-573.3303546905518","-1281.007318496704"
"-280091.7863845825","-13824.74422454834","-283.5683822631836","-117.23310470581055","-570.5455303192139","-971.3471031188965"
"-40412.99819946289","-1793.6232686042786","-569.7738647460938","-117.23451614379883","-573.2780456542969","-1260.2865028381348"
"-45214.52188491821","-11829.655170440674","-415.0716781616211","-117.23462104797363","-573.2376098632812","-1105.5439853668213"
"-44151.86047554016","-11811.447143554688","-415.0866985321045","-117.23462104797363","-573.2743263244629","-1105.5957412719727"
"-62011.11078262329","-11995.632648468018","-371.19030952453613","-117.2344970703125","-572.9764938354492","-1061.4013481140137"
"-535495.7103729248","-10050.199031829834","-531.7678928375244","-86.27887725830078","-420.6148624420166","-1038.6617946624756"
"-41836.726665496826","-1806.5163493156433","-458.89482498168945","-117.23462104797363","-573.265266418457","-1149.3947124481201"
"-347786.5695953369","-15256.383419036865","-281.70647621154785","-117.1821117401123","-566.5014743804932","-965.3901100158691"
"-39030.74264526367","-1769.5367336273193","-546.6034412384033","-117.23462104797363","-573.3296394348145","-1237.1677494049072"
"-1941363.9068603516","-34501.66940689087","-435.3795528411865","-83.42777252197266","-305.4479122161865","-824.2551040649414"
"-3601943.2067871094","-60409.28363800049","-124.70741271972656","-107.49382019042969","-430.51867485046387","-662.7199459075928"
"-3673004.913330078","-61539.597511291504","-124.5742917060852","-107.49382019042969","-429.913854598999","-661.9819736480713"
"-142646.02661132812","-12956.924438476562","-326.81798934936523","-117.22444534301758","-571.2522983551025","-1015.2947330474854"
"-313163.25664520264","-14588.2248878479","-282.51447677612305","-117.1821117401123","-568.0469036102295","-967.7435874938965"
"-3476777.6489257812","-56278.35750579834","-409.0608596801758","-39.90000247955322","-206.44874572753906","-655.4096603393555"
